id	baseMean	baseMeanCtrl	baseMeanCr	foldChange	log2FoldChange	pval	padj	Pr-118	Pr-119	Pr-120	geneid	symbol	name
100009600	25.32732013	21.0831746	33.81561119	1.603914582	0.681597312	0.60608343	1	0.283193856	1.146582889	1.144342449	100009600	Zglp1	"zinc finger, GATA-like protein 1"
100009609	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100009609	Vmn2r65	"vomeronasal 2, receptor 65"
100009614	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100009614	LOC100009614	keratin associated protein LOC100009614
100009664	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100009664	F630206G17Rik	RIKEN cDNA F630206G17 gene
100012	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100012	Oog3	oogenesin 3
100017	2046.449378	1992.144186	2155.059762	1.081779008	0.113405808	0.422281724	1	27.44962391	27.81183797	28.33091335	100017	Ldlrap1	low density lipoprotein receptor adaptor protein 1
100019	1939.386437	1837.490355	2143.178601	1.166361823	0.222015404	0.24389933	0.870877444	3.663117816	3.908802743	4.190350378	100019	Mdn1	midasin homolog (yeast)
100033459	20.64442537	20.45638052	21.02051506	1.027577437	0.039247118	1	1	0.191513756	0.285070777	0.236462534	100033459	Pydc3	pyrin domain containing 3
100034251	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100034251	Gm11428	predicted gene 11428
100034361	2947.588228	2568.835211	3705.094264	1.442324618	0.528395902	2.04E-05	0.000829527	50.9298713	50.01641256	68.95719464	100034361	Mfap1b	microfibrillar-associated protein 1B
100034363	1.948000326	1.094129614	3.65574175	3.341232797	1.740380504	0.508873835	1	0	0	0.141432437	100034363	Tmsb15b2	thymosin beta 15b2
100034684	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100034684	BC100530	cDNA sequence BC100530
100034726	15723.09196	14995.01573	17179.24442	1.145663647	0.196183549	0.333388251	1	1029.142813	1105.713824	1160.478167	100034726	Gm15772	ribosomal protein L26 pseudogene
100034729	940.8893427	841.0383011	1140.591426	1.35617061	0.439538685	0.003680072	0.048439781	15.74542539	15.80506326	20.28122516	100034729	Gm15114	predicted gene 15114
100034739	65.8988437	67.77446068	62.14760975	0.916976825	-0.125042823	0.828554289	1	0.816234621	0.675270929	0.646153779	100034739	LOC100034739	hypothetical LOC100034739
100036518	1.443859219	1.70882111	0.913935438	0.534833888	-0.902837216	1	1	0.043895917	0	0	100036518	Vmn1r223	vomeronasal 1 receptor 223
100036520	1.443859219	1.70882111	0.913935438	0.534833888	-0.902837216	1	1	0.028409396	0	0	100036520	Gm14318	predicted gene 14318
100036521	159.5999103	160.3444501	158.1108307	0.986069868	-0.020238223	0.918536075	1	2.502067268	2.916762289	2.542397819	100036521	Gm16039	predicted gene 16039
100036523	288.593711	286.6608964	292.45934	1.020227536	0.028890945	0.926089494	1	4.039295579	4.043030436	3.908987423	100036523	LOC100036523	hypothetical LOC100036523
100036537	3.846594674	4.855956574	1.827870875	0.376418291	-1.409591361	0.654198302	1	0.112166978	0.106855706	0.02518052	100036537	Gm11149	predicted gene 11149
100036768	242.2466024	206.629976	313.4798551	1.517107348	0.601323172	0.008427367	0.090204467	2.793018613	2.722356841	3.971054539	100036768	Gm11696	predicted gene 11696
100037258	2272.696834	2340.654724	2136.781053	0.91289887	-0.131473046	0.292335724	0.959013785	16.89150408	16.55105331	14.45660237	100037258	Dnajc3	"DnaJ (Hsp40) homolog, subfamily C, member 3"
100037260	85.30956733	71.75732159	112.4140588	1.566586605	0.647624528	0.075471169	0.424108057	1.454078504	1.670419274	2.342601618	100037260	9430060I03Rik	RIKEN cDNA 9430060I03 gene
100037262	356.0653328	333.0322029	402.1315925	1.207485609	0.272005995	0.181222482	0.734541339	8.846860185	8.727788758	10.06007611	100037262	Gm12359	predicted gene 12359
100037278	36.2347652	35.15950362	38.38528838	1.091747164	0.126638784	0.852559981	1	0.48016686	0.535193392	0.530343146	100037278	Fam129c	"family with sequence similarity 129, member C"
100037282	3746.40112	3990.054794	3259.09377	0.816804264	-0.291937697	0.015513907	0.140351628	91.82715787	91.46044069	70.91382073	100037282	Rsph3b	radial spoke 3B homolog (Chlamydomonas)
100037283	6565.036045	6299.199731	7096.708672	1.126604803	0.171981527	0.163622547	0.688941692	241.4271784	243.9450797	259.1106931	100037283	Rnaset2a	ribonuclease T2A
100037396	2.602231416	2.532443968	2.741806313	1.082672054	0.114596311	1	1	0	0.040292101	0.025319529	100037396	D030047H15Rik	RIKEN cDNA D030047H15 gene
100038347	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038347	Fam174b	"family with sequence similarity 174, member B"
100038353	84.23646512	96.65179595	59.40580344	0.614637347	-0.702192664	0.065186393	0.386374825	1.491659948	1.583853731	0.892972813	100038353	Gm10532	predicted gene 10532
100038356	1.338710034	1.094129614	1.827870875	1.670616398	0.740380504	0.851392559	1	0	0	0.010296717	100038356	Gm15612	predicted gene 15612
100038358	19.50132076	17.37082045	23.76232138	1.367944678	0.452009886	0.534030138	1	0.119754804	0.097786489	0.144021008	100038358	Gm10857	predicted gene 10857
100038363	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038363	F630028O10Rik	RIKEN cDNA F630028O10 gene
100038371	2.906876562	2.532443968	3.65574175	1.443562739	0.52963381	0.861984308	1	0	0.109401252	0.103121509	100038371	Zfp389	zinc finger protein 389
100038374	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038374	Gm10714	predicted gene 10714
100038378	3.027006013	3.626573582	1.827870875	0.50402145	-0.988442962	0.849293706	1	0.02405195	0.068739165	0.016198367	100038378	Gm10433	predicted gene 10433
100038392	107.2110304	106.4373871	108.7583171	1.02180559	0.031120733	0.976980298	1	2.1478434	2.411521958	2.216740347	100038392	Gm10785	predicted gene 10785
100038394	1.353690301	1.573567732	0.913935438	0.580804638	-0.78387512	1	1	0	0.02911133	0	100038394	Gm10512	predicted gene 10512
100038410	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038410	Gm10536	predicted gene 10536
100038417	11.66409133	14.29736297	6.397548063	0.447463499	-1.160158092	0.320765546	1	0.539671311	0.685489437	0.242303118	100038417	Spink13	"serine peptidase inhibitor, Kazal type 13"
100038439	1.338710034	1.094129614	1.827870875	1.670616398	0.740380504	0.851392559	1	0	0	0.008219448	100038439	Gm10556	predicted gene 10556
100038453	26.8274972	20.59163389	39.29922381	1.908504396	0.93244251	0.140910569	0.629567014	0.254088789	0.335156275	0.552856438	100038453	Gm12522	predicted gene 12522
100038454	1.443859219	1.70882111	0.913935438	0.534833888	-0.902837216	1	1	0.035338003	0	0	100038454	Gm13939	predicted gene 13939
100038460	6.843640155	7.52365392	5.483612625	0.728849663	-0.456306829	0.878854958	1	0.113394305	0.113426163	0.076368133	100038460	Gm10677	predicted gene 10677
100038464	527.3302058	384.7510067	812.4886039	2.111725739	1.078422476	4.16E-10	8.03E-08	8.405818842	8.591409566	17.0408756	100038464	Gm15441	predicted gene 15441
100038468	2.282606004	2.05300585	2.741806313	1.33550828	0.417388921	0.922596908	1	0	0.030921704	0.029146766	100038468	Gm10684	predicted gene 10684
100038479	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038479	Gm10787	predicted gene 10787
100038481	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038481	Gm10510	predicted gene 10510
100038489	33.62835593	33.99169602	32.90167575	0.967932748	-0.047021282	1	1	1.320119054	1.187742275	1.152493036	100038489	Gm10664	predicted gene 10664
100038493	3.621316039	3.147135464	4.569677188	1.452011596	0.538052975	0.810272792	1	0.017955166	0.038486165	0.048369361	100038493	Gm13582	predicted gene 13582
100038494	1.443859219	1.70882111	0.913935438	0.534833888	-0.902837216	1	1	0.032210112	0	0	100038494	Gm10782	predicted gene 10782
100038514	1.64335518	1.094129614	2.741806313	2.505924597	1.325343005	0.658522738	1	0	0	0.071663311	100038514	Gm11837	predicted gene 11837
100038516	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038516	Gm10640	predicted gene 10640
100038522	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038522	Gm10485	predicted gene 10485
100038525	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038525	Gm10804	predicted gene 10804
100038526	25.43491601	26.27121333	23.76232138	0.90450034	-0.14480705	0.857423152	1	0.904787015	1.29291602	0.952110414	100038526	Gm10560	predicted gene 10560
100038538	236.225433	228.6720269	251.3322453	1.099094842	0.136315884	0.606952897	1	4.876751348	5.319337865	5.324948369	100038538	Gm10767	predicted gene 10767
100038545	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038545	Gm10745	predicted gene 10745
100038554	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038554	Gm15348	predicted gene 15348
100038555	1.64335518	1.094129614	2.741806313	2.505924597	1.325343005	0.658522738	1	0	0	0.022326261	100038555	Gm10578	predicted gene 10578
100038556	1.658335446	1.573567732	1.827870875	1.161609277	0.21612488	1	1	0	0.044698499	0.04213276	100038556	Gm10445	predicted gene 10445
100038566	79.35004297	79.26887292	79.51238306	1.003071952	0.004425096	0.996620237	1	2.692799483	2.435022744	2.436932067	100038566	Gm10658	predicted gene 10658
100038570	5.204462833	5.064887936	5.483612625	1.082672054	0.114596311	1	1	0.059514314	0.297655175	0.200406761	100038570	Gm11744	predicted gene 11744
100038574	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038574	Gm10415	predicted gene 10415
100038575	85.2067184	94.45143414	66.71728694	0.706366055	-0.50151208	0.196794045	0.767766087	0.986472553	0.878738139	0.621223259	100038575	Gm10635	predicted gene 10635
100038577	14.57096789	16.82980693	10.05328981	0.597350276	-0.743350944	0.459910052	1	0.281078808	0.401653967	0.189299311	100038577	Gm10790	predicted gene 10790
100038584	1.338710034	1.094129614	1.827870875	1.670616398	0.740380504	0.851392559	1	0	0	0.017895855	100038584	Gm14812	predicted gene 14812
100038591	411.2726498	338.1586663	557.5006169	1.648636195	0.721273074	0.000120928	0.003529259	4.576137464	4.449589614	7.055952495	100038591	F420014N23Rik	RIKEN cDNA F420014N23 gene
100038595	86.64770272	78.33420186	103.2747044	1.318385864	0.398772679	0.415301033	1	1.026506586	1.422844475	1.548569455	100038595	Gm16287	predicted gene 16287
100038600	3.49700873	3.41764222	3.65574175	1.069667775	0.097162784	0.96755166	1	0.069322781	0.016510061	0.046687101	100038600	Gm11529	predicted gene 11529
100038602	187.4725621	181.1329128	200.1518608	1.104999957	0.144046313	0.620667762	1	8.904829293	9.806674949	9.829951641	100038602	Gm10865	predicted gene 10865
100038607	58.03569072	46.3834091	81.34025394	1.753649753	0.810360635	0.064595728	0.383749515	0.591206687	0.788497048	1.1679431	100038607	Gm10636	predicted gene 10636
100038608	432.4593805	409.6949539	477.9882338	1.166692997	0.222424982	0.237830786	0.859713975	4.49492671	4.252621403	4.832438053	100038608	Gm10389	predicted gene 10389
100038614	62.74724306	67.15976918	53.92219081	0.802894225	-0.316718159	0.50649481	1	1.614010935	1.359115431	1.125815879	100038614	Gm10791	predicted gene 10791
100038617	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038617	Gm10466	predicted gene 10466
100038623	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038623	Gm10823	predicted gene 10823
100038627	4.031110369	3.76182696	4.569677188	1.214749439	0.280658766	0.906696928	1	0.030133354	0.032294807	0.04058807	100038627	F630042J09Rik	RIKEN cDNA F630042J09 gene
100038628	814.2645691	776.7672632	889.2591807	1.144820621	0.195121564	0.255273705	0.893120236	13.72027798	14.40433751	15.27470318	100038628	Gm10768	predicted gene 10768
100038638	5.979110695	4.855956574	8.225418938	1.69388231	0.76033364	0.586848307	1	0.052137403	0.04966862	0.093635182	100038638	Gm10474	predicted gene 10474
100038653	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038653	Gm10538	predicted gene 10538
100038657	2.782569254	2.802950724	2.741806313	0.978185699	-0.031819723	1	1	0.128666574	0.045965258	0.086653612	100038657	7420461P10Rik	RIKEN cDNA 7420461P10 gene
100038659	1.748504365	1.70882111	1.827870875	1.069667775	0.097162784	1	1	0.049094713	0	0.03306402	100038659	Gm10872	predicted gene 10872
100038666	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038666	Gm12298	predicted gene 12298
100038689	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038689	Gm10421	predicted gene 10421
100038693	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038693	Gm10565	predicted gene 10565
100038699	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038699	Gm10754	predicted gene 10754
100038706	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038706	Gm10637	predicted gene 10637
100038709	5.809575267	6.429524306	4.569677188	0.710733325	-0.492619749	0.893757987	1	0.041534276	0.044513513	0.027972262	100038709	Gm10789	predicted gene 10789
100038712	117.5758772	106.9047226	138.9181865	1.299457901	0.377909896	0.225861435	0.836438828	1.53306322	1.473510327	1.856002924	100038712	Gm10516	predicted gene 10516
100038713	12.42793679	12.24435712	12.79509613	1.044979006	0.063473958	0.987632925	1	0.079600861	0.092419815	0.087114824	100038713	Gm10432	predicted gene 10432
100038714	87.96754195	77.5721544	108.7583171	1.402027801	0.487514957	0.18281606	0.737963892	1.714782944	1.982578692	2.477703893	100038714	Gm15401	predicted gene 15401
100038718	1.034064889	1.094129614	0.913935438	0.835308199	-0.259619496	1	1	0	0	0	100038718	Gm10494	predicted gene 10494
