geneid	symbol	name	baseMean	baseMeandmso	baseMeancr+dmso	foldChange	log2FoldChange	pval	padj	PJ-3	PJ-4	PJ-7	PJ-8
100009600	Zglp1	"zinc finger, GATA-like protein 1"	60.11159157	27.16423735	93.05894579	3.42578901	1.7764363	0.129662745	0.589088699	1.415382605	0.713506772	4.135665417	0.787958375
100009609	Vmn2r65	"vomeronasal 2, receptor 65"	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100009614	LOC100009614	keratin associated protein LOC100009614	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100009664	F630206G17Rik	RIKEN cDNA F630206G17 gene	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100012	Oog3	oogenesin 3	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100017	Ldlrap1	low density lipoprotein receptor adaptor protein 1	1840.98768	1521.072256	2160.903105	1.420644612	0.506545695	0.043184823	0.313284073	27.06778158	16.266828	22.16022082	16.72521056
100019	Mdn1	midasin homolog (yeast)	1933.357069	1987.763739	1878.950399	0.945258414	-0.081219309	0.748587893	1	3.612485184	3.287074857	2.753135752	3.134488089
100033459	Pydc3	pyrin domain containing 3	32.38547678	59.24759445	5.523359098	0.093225036	-3.423138748	4.01E-06	0.000224671	0.071278768	0.562938609	0.020717043	0.568392248
100034251	Gm11428	predicted gene 11428	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100034361	Mfap1b	microfibrillar-associated protein 1B	3692.601456	3308.524573	4076.678339	1.232174116	0.301206134	0.437944226	1	81.62424298	51.126617	49.84650179	50.55349406
100034363	Tmsb15b2	thymosin beta 15b2	2.221239421	1.919119744	2.523359098	1.314852346	0.394900799	0.983299805	1	0.044663243	0	0.090869029	0.077908758
100034684	BC100530	cDNA sequence BC100530	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100034726	Gm15772	ribosomal protein L26 pseudogene	22012.05708	18197.50202	25826.61215	1.419239417	0.505117984	0.075116818	0.437899779	1269.50322	986.0320556	1754.587277	1041.629451
100034729	Gm15114	predicted gene 15114	1032.817269	1070.606219	995.02832	0.929406445	-0.105618446	0.79083182	1	19.53752176	15.53054961	11.11301981	15.88450636
100034739	LOC100034739	hypothetical LOC100034739	90.73672185	104.6152709	76.85817284	0.73467451	-0.444822875	0.375743832	1	0.968477286	0.965113108	0.418245927	0.844686328
100036518	Vmn1r223	vomeronasal 1 receptor 223	1.24041314	1.473039915	1.007786366	0.684154147	-0.547606679	1	1	0	0.027648935	0	0
100036520	Gm14318	predicted gene 14318	1.244306323	0.973039915	1.515572732	1.557564813	0.639292197	0.988539216	1	0	0	0.018439156	0
100036521	Gm16039	predicted gene 16039	236.3024332	290.0614933	182.5433731	0.629326461	-0.66811949	0.038755068	0.293048416	3.192805006	3.912324291	1.894631797	3.810642158
100036523	LOC100036523	hypothetical LOC100036523	271.7083874	337.1865289	206.2302458	0.611620655	-0.709290965	0.023626983	0.211030887	2.913867502	3.770533798	1.854092353	3.675434846
100036537	Gm11149	predicted gene 11149	2.68649297	4.365199573	1.007786366	0.230868337	-2.11485777	0.458343356	1	0	0.070651161	0	0.083224885
100036768	Gm11696	predicted gene 11696	302.5447274	291.7379723	313.3514826	1.074085352	0.103108641	0.74418353	1	3.509077153	2.986384959	3.368250334	3.108517162
100037258	Dnajc3	"DnaJ (Hsp40) homolog, subfamily C, member 3"	2431.528173	2803.416305	2059.640041	0.734689328	-0.444793777	0.072405916	0.430189298	13.32663405	16.0721181	10.82037402	15.27272845
100037260	9430060I03Rik	RIKEN cDNA 9430060I03 gene	91.67379922	99.8726301	83.47496833	0.835814259	-0.258745723	0.546019689	1	1.891883702	1.59831349	1.11031953	1.824588621
100037262	Gm12359	predicted gene 12359	354.0132941	393.6890058	314.3375824	0.798441353	-0.324741652	0.30585728	0.918424556	8.423468574	8.722972542	5.189944679	7.573999129
100037278	Fam129c	"family with sequence similarity 129, member C"	63.55670719	34.02943693	93.08397746	2.735395759	1.451749578	0.003239828	0.051861616	1.335740489	0.399227449	0.922492713	0.374084455
100037282	Rsph3b	radial spoke 3B homolog (Chlamydomonas)	3066.470897	4198.483607	1934.458186	0.460751635	-1.11793881	6.45E-06	0.000333198	42.2691109	75.23429367	30.65334936	75.58981353
100037283	Rnaset2a	ribonuclease T2A	6126.728879	7660.331844	4593.125913	0.599598817	-0.737930557	0.002220638	0.039134168	118.7539	230.4443305	171.9117808	231.3059181
100037396	D030047H15Rik	RIKEN cDNA D030047H15 gene	3.423012927	5.338239488	1.507786366	0.282450117	-1.823931998	0.441523648	1	0.01199356	0.047360794	0	0.052302705
100038347	Fam174b	"family with sequence similarity 174, member B"	1.244306323	0.973039915	1.515572732	1.557564813	0.639292197	0.988539216	1	0	0	0.011553736	0
100038353	Gm10532	predicted gene 10532	90.34132304	125.9412687	54.74137735	0.434657979	-1.202047466	0.005430968	0.07511876	1.017821162	1.644228448	0.40340162	1.510282088
100038356	Gm15612	predicted gene 15612	1.998199507	1.473039915	2.523359098	1.713028326	0.776549007	0.876055569	1	0.009754865	0.009630129	0.019846635	0
100038358	Gm10857	predicted gene 10857	29.05603518	30.94855667	27.16351369	0.877698885	-0.18820202	0.79734121	1	0.174645864	0.129309499	0.111038594	0.180883082
100038363	F630028O10Rik	RIKEN cDNA F630028O10 gene	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038371	Zfp389	zinc finger protein 389	6.403839208	6.784319317	6.023359098	0.887835436	-0.171635803	0.9654682	1	0.260519647	0.160742737	0.066254613	0.198817477
100038374	Gm10714	predicted gene 10714	1.24041314	0.973039915	1.507786366	1.549562709	0.63186114	0.988530491	1	0.034800536	0	0	0
100038378	Gm10433	predicted gene 10433	4.938585659	5.838239488	4.038931831	0.691806467	-0.531559596	0.807107278	1	0.030691896	0.075748596	0.062443803	0.066922129
100038392	Gm10785	predicted gene 10785	146.1762287	176.0271027	116.3253548	0.660837752	-0.597631988	0.10011551	0.513499151	2.206871225	2.793594024	1.900991776	3.135542571
100038394	Gm10512	predicted gene 10512	1.24041314	0.973039915	1.507786366	1.549562709	0.63186114	0.988530491	1	0.025996298	0	0	0
100038410	Gm10536	predicted gene 10536	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038417	Spink13	"serine peptidase inhibitor, Kazal type 13"	8.173305123	9.284319317	7.062290929	0.760668681	-0.394659889	0.803824805	1	0.191293514	0.377694885	0.272435635	0.233579275
100038439	Gm10556	predicted gene 10556	1.244306323	0.973039915	1.515572732	1.557564813	0.639292197	0.988539216	1	0	0	0.007921378	0
100038453	Gm12522	predicted gene 12522	40.80301859	35.78679616	45.81924101	1.280339285	0.35652617	0.558525927	1	0.611056896	0.34471046	0.507435904	0.478568678
100038454	Gm13939	predicted gene 13939	4.033238154	1.473039915	6.593436394	4.476074496	2.162234048	0.418566609	1	0	0.02225852	0.252297959	0
100038460	Gm10677	predicted gene 10677	5.92690611	8.838239488	3.015572732	0.341196087	-1.551326992	0.347738403	0.980969365	0.043409613	0.15713329	0.014719745	0.063101646
100038464	Gm15441	predicted gene 15441	1158.248788	687.8068961	1628.690681	2.367947588	1.243637149	3.12E-05	0.001260119	33.85174847	11.95326423	25.37413067	11.86066533
100038468	Gm10684	predicted gene 10684	1.744306323	1.973039915	1.515572732	0.768140939	-0.380557053	1	1	0	0.027259867	0.014044895	0
100038479	Gm10787	predicted gene 10787	1.24041314	0.973039915	1.507786366	1.549562709	0.63186114	0.988530491	1	0.019648365	0	0	0
100038481	Gm10510	predicted gene 10510	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038489	Gm10664	predicted gene 10664	52.23908442	53.6667142	50.81145465	0.946796453	-0.078873794	0.890289342	1	1.871733461	1.293459712	1.237636169	1.822945067
100038493	Gm13582	predicted gene 13582	5.461652562	5.392159659	5.531145465	1.025775536	0.03671507	1	1	0.068735975	0.067857047	0.034961474	0.029975064
100038494	Gm10782	predicted gene 10782	2.43649297	3.365199573	1.507786366	0.448052585	-1.158260035	0.722562103	1	0.020551128	0.02028834	0	0.071697113
100038514	Gm11837	predicted gene 11837	3.74459852	2.419119744	5.070077295	2.095835606	1.067525559	0.649460252	1	0	0.03351199	0.276258074	0.059214134
100038516	Gm10640	predicted gene 10640	1.244306323	0.973039915	1.515572732	1.557564813	0.639292197	0.988539216	1	0	0	0.027284748	0
100038522	Gm10485	predicted gene 10485	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038525	Gm10804	predicted gene 10804	2.213453055	3.419119744	1.007786366	0.29475024	-1.762435106	0.603242792	1	0	0.030817732	0	0.018151168
100038526	Gm10560	predicted gene 10560	37.01768774	40.84071633	33.19465915	0.81278347	-0.299057033	0.64014222	1	1.443210854	1.424756504	0.880879836	1.321676325
100038538	Gm10767	predicted gene 10767	456.7372439	421.799323	491.6751648	1.165661342	0.221148705	0.434463839	1	9.260945143	7.85202973	8.821528992	6.953144391
100038545	Gm10745	predicted gene 10745	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038554	Gm15348	predicted gene 15348	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038555	Gm10578	predicted gene 10578	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038556	Gm10445	predicted gene 10445	1.494306323	1.473039915	1.515572732	1.028874179	0.041066565	1	1	0	0.039405175	0.040604861	0
100038566	Gm10658	predicted gene 10658	95.85459851	106.7108696	84.99832743	0.796529236	-0.328200779	0.434717658	1	2.791906045	2.570692058	1.720456281	2.833080111
100038570	Gm11744	predicted gene 11744	3.721239421	2.919119744	4.523359098	1.549562709	0.63186114	0.811574603	1	0.189860604	0.074973142	0.077255691	0.066237034
100038574	Gm10415	predicted gene 10415	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038575	Gm10635	predicted gene 10635	60.20066735	44.84071633	75.56061836	1.685089458	0.752825183	0.12816714	0.585160138	0.629402444	0.387337726	0.590380059	0.299428418
100038577	Gm10790	predicted gene 10790	13.11117145	21.69119744	4.531145465	0.208893284	-2.259161986	0.032646676	0.262463128	0.071735068	0.247862268	0.054730373	0.45360261
100038584	Gm14812	predicted gene 14812	1.980826281	2.446079829	1.515572732	0.619592506	-0.690608399	0.907182352	1	0	0.03347463	0.017246881	0.01478703
100038591	F420014N23Rik	RIKEN cDNA F420014N23 gene	505.481961	565.0690664	445.8948556	0.789097974	-0.341723659	0.219670678	0.777114578	4.917437602	5.797296166	4.857197164	6.002530975
100038595	Gm16287	predicted gene 16287	138.0748667	127.5907876	148.5589458	1.164339123	0.219511316	0.562611854	1	2.069627761	1.512975439	1.798889781	1.645143067
100038600	Gm11529	predicted gene 11529	3.480826281	1.946079829	5.015572732	2.577269779	1.365843561	0.560422859	1	0.103203917	0.014554893	0.014998015	0.01285891
100038602	Gm10865	predicted gene 10865	208.4731918	190.6227014	226.3236822	1.187286092	0.247667613	0.530881979	1	11.91849941	7.337996261	7.344119123	8.085057912
100038607	Gm10636	predicted gene 10636	78.98363562	75.23535283	82.73191842	1.099641529	0.137033298	0.77762606	1	0.867582118	0.868901212	1.189542825	0.910218417
100038608	Gm10389	predicted gene 10389	657.9380745	720.7260158	595.1501332	0.825764743	-0.276197273	0.310411615	0.926247996	5.68320454	6.311850023	4.746413222	5.744658851
100038614	Gm10791	predicted gene 10791	50.20973945	62.19367428	38.22580462	0.614625282	-0.702220982	0.191707623	0.724452364	0.845901307	1.089240991	0.52378798	1.058551094
100038617	Gm10466	predicted gene 10466	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038623	Gm10823	predicted gene 10823	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038627	F630042J09Rik	RIKEN cDNA F630042J09 gene	4.963453055	8.419119744	1.507786366	0.179090738	-2.481237369	0.240474394	0.812095563	0.009613043	0.123371575	0	0.016768604
100038628	Gm10768	predicted gene 10768	929.4989547	921.9590344	937.038875	1.016356302	0.023406254	0.933564278	1	14.21779914	13.13945596	13.6757888	13.01076251
100038638	Gm10474	predicted gene 10474	6.692478842	7.338239488	6.046718197	0.824001207	-0.279281644	0.903250947	1	0.055442342	0.08757344	0.056399753	0.048355691
100038653	Gm10538	predicted gene 10538	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038657	7420461P10Rik	RIKEN cDNA 7420461P10 gene	12.35750083	1.919119744	22.79588191	11.87830097	3.570256588	0.136017246	0.604369017	0.246280719	0	1.544957431	0.071600356
100038659	Gm10872	predicted gene 10872	1.476933098	1.446079829	1.507786366	1.042671598	0.060284835	1	1	0.031324067	0	0	0.027320218
100038666	Gm12298	predicted gene 12298	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038689	Gm10421	predicted gene 10421	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038693	Gm10565	predicted gene 10565	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038699	Gm10754	predicted gene 10754	1.226933098	1.446079829	1.007786366	0.69690922	-0.520957353	1	1	0	0	0	0.016244906
100038706	Gm10637	predicted gene 10637	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038709	Gm10789	predicted gene 10789	4.24250583	3.446079829	5.038931831	1.462221446	0.548161817	0.818592774	1	0.026500256	0.026161397	0.026957878	0.005778247
100038712	Gm10516	predicted gene 10516	139.0600829	138.2403065	139.8798594	1.011860165	0.017009929	0.976611337	1	1.909712739	1.44845699	1.326715649	1.594519646
100038713	Gm10432	predicted gene 10432	16.80436962	17.46079829	16.14794096	0.92481115	-0.112769302	0.92858716	1	0.076182013	0.094009841	0.116246353	0.105203654
100038714	Gm15401	predicted gene 15401	118.086389	116.1839095	119.9888685	1.032749449	0.04649029	0.918007954	1	2.188177607	2.25838815	2.549740964	2.116682602
100038718	Gm10494	predicted gene 10494	1.244306323	0.973039915	1.515572732	1.557564813	0.639292197	0.988539216	1	0	0	0.011983309	0
100038725	Gm9766	predicted gene 9766	106.113601	113.34567	98.88153194	0.872389143	-0.196956279	0.786413185	1	1.661502529	1.283194159	0.551900187	1.143530326
100038728	Gm10373	predicted gene 10373	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038734	Gm10845	predicted gene 10845	6136.097852	5523.607164	6748.58854	1.221771994	0.288975076	0.234490679	0.80219052	56.64009602	47.22411977	64.58423032	47.28688017
100038743	Gm13629	predicted gene 13629	1.24041314	0.973039915	1.507786366	1.549562709	0.63186114	0.988530491	1	0.022580303	0	0	0
100038746	LOC100038746	hypothetical LOC100038746	170.3818954	187.4462224	153.3175684	0.817928291	-0.289953729	0.48078089	1	3.165647531	2.811081095	1.682978055	2.844260486
100038752	Gm10825	predicted gene 10825	39.28794262	62.99023522	15.58565003	0.247429621	-2.014909872	0.00117895	0.024991808	0.127066338	0.475357414	0.068031891	0.320808324
100038847	Gm10406	predicted gene 10406	1.24041314	0.973039915	1.507786366	1.549562709	0.63186114	0.988530491	1	0.015557887	0	0	0
100038854	BC117090	cDNA sequence BC1179090	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038859	Olfr55	olfactory receptor 55	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038860	Olfr239	olfactory receptor 239	1.226933098	1.446079829	1.007786366	0.69690922	-0.520957353	1	1	0	0	0	0.027983051
100038862	Btnl3	butyrophilin-like 3	1.226933098	1.446079829	1.007786366	0.69690922	-0.520957353	1	1	0	0	0	0.012554629
100038882	Isg15	ISG15 ubiquitin-like modifier	188.0496032	306.6865289	69.41267741	0.226331028	-2.143493715	1.87E-09	2.43E-07	3.379518749	10.64440107	2.128210344	12.73761812
100038909	Gm14548	predicted gene 14548	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038912	Ceacam-ps1	carcinoembryonic antigen-related cell adhesion molecule pseudogene 1	1.748199507	0.973039915	2.523359098	2.593273986	1.374774639	0.757490015	1	0.042539397	0	0.086547984	0
100038927	Gm15284	predicted gene 15284	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038941	Vmn2r121	"vomeronasal 2, receptor 121"	0.99041314	0.973039915	1.007786366	1.035709174	0.050618953	1	1	0	0	0	0
100038947	LOC100038947	signal-regulatory protein beta 1-like	1.24041314	1.473039915	1.007786366	0.684154147	-0.547606679	1	1	0	0.020622763	0	0
100038948	Mup9	major urinary protein 9	1.24041314	1.473039915	1.007786366	0.684154147	-0.547606679	1	1	0	0.04170381	0	0
100038977	Gm1993	predicted gene 1993	1.498199507	0.973039915	2.023359098	2.079420451	1.056181495	0.866585098	1	0	0	0.054714243	0
100038982	Gm1995	"REX1, RNA exonuclease 1 homolog pseudogene"	38.30943159	34.24511761	42.37374557	1.23736604	0.307272345	0.612453681	1	0.245231146	0.283597437	0.33499712	0.164997503
100038993	Gm2002	predicted gene 2002	406.8922409	444.4096401	369.3748417	0.831158482	-0.266804505	0.360790119	1	1.214356924	1.24924697	0.877428628	1.153173161
100039008	Mup10	major urinary protein 10	1.24041314	1.473039915	1.007786366	0.684154147	-0.547606679	1	1	0	0.034043927	0	0
100039027	Gm2011	predicted gene 2011	16.80977111	19.54167855	14.07786366	0.720401967	-0.473125975	0.620583127	1	0.651217089	0.831975256	0.350715539	0.534567898
100039028	Mup11	major urinary protein 11	1.24041314	1.473039915	1.007786366	0.684154147	-0.547606679	1	1	0	0.032852017	0	0
100039030	Gm2012	predicted gene 2012	1.726933098	1.946079829	1.507786366	0.774781355	-0.36813886	1	1	0.034136553	0.033700049	0	0.029773212
100039042	Gm2016	predicted gene 2016	263.7462381	293.5909302	233.9015459	0.796692002	-0.327906003	0.343021202	0.974218401	4.891307997	4.352687593	3.136139217	5.227474699
100039043	Gm10731	predicted gene 10731	2.953866195	2.892159659	3.015572732	1.042671598	0.060284835	1	1	0.050412711	0.016589361	0.017094422	0.043968948
100039045	Gm10471	predicted gene 10471	2.717346238	2.419119744	3.015572732	1.24655786	0.317949849	0.981191973	1	0.027303114	0.008984663	0.0092582	0.015875483
